lsp-plugins-gst 1.2.24-1
lsp-plugins-ladspa 1.2.24-1
lsp-plugins-lv2 1.2.24-1
lsp-plugins-standalone 1.2.24-1
lsp-plugins-vst 1.2.24-1
lsp-plugins-vst3 1.2.24-1
lua 5.4.8-2
lua51-lpeg 1.1.0-4
luajit 2.1.1762795099-1
lv2 1.18.10-2
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.20-1
mailcap 2.1.54-2
make 4.4.1-2
malcontent 0.13.1-1
man-db 2.13.1-1
markdown-oxide-git r665.7365fbe5-1
mbedtls 3.6.4-1
mcontrolcenter-git r384.6396bea-1
md4c 0.5.2-1
mdadm 4.4-2
media-player-info 26-1
mesa 1:25.2.6-1
meson 1.9.1-2
mimalloc 2.2.4-1
minizip 1:1.3.1-2
mjpegtools 2.2.1-3
mkinitcpio 40-2
mkinitcpio-busybox 1.36.1-1
mlt 7.34.1-1
mobile-broadband-provider-info 20250613-1
mod_dnssd 0.6-9
mokutil 0.7.2-2
mold 2.40.4-1
mongodb-compass-bin 1.46.2-2
moreutils 0.70-1
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.33.3-1
msgpack-c 6.1.0-2
msgraph 0.3.3-1
mtdev 1.1.7-1
mutter 49.1.1-1
nautilus 49.1-3
ncurses 6.5-4
neon 0.35.0-1
nerdfetch 8.3.0-1
net-snmp 5.9.4-7
netpbm 10.86.48-1
netstandard-targeting-pack 9.0.9.sdk110-1
nettle 3.10.2-1
network-manager-applet 1.36.0-1
networkmanager 1.54.1-1
nfsidmap 2.8.4-1
ninja 1.13.1-2
nlohmann-json 3.12.0-2
nm-connection-editor 1.36.0-1
node-gyp 12.0.0-1
nodejs-lts-jod 22.21.1-2
nodejs-nopt 7.2.1-1
noto-fonts-emoji 1:2.051-1
npm 11.6.2-1
npth 1.8-1
nspr 4.38-1
nss 3.117-1
numactl 2.0.19-1
nvm 0.40.3-1
nwg-look 1.0.6-1
obs-studio 32.0.1-2
ocl-icd 2.3.4-1
omnisharp-roslyn 1.39.14-1
onetbb 2022.3.0-1
oniguruma 6.9.10-1
openal 1.24.3-2
opencl-headers 2:2025.07.22-1
